ts_ns,freq_khz
1762975131894772635,1996261
1762975131914978523,1994350
1762975131935080282,2003883
1762975131955221327,2000000
1762975131975377484,2000000
1762975131995500914,2000000
1762975132015651698,2000000
1762975132035853142,2000000
1762975132056013148,2000000
1762975132076096444,2000000
1762975132096199955,2000000
1762975132116343825,2000000
1762975132136449605,2000020
1762975132156558725,2000000
1762975132176641138,1998568
1762975132196742676,2000000
1762975132216818769,2000000
1762975132236896619,1999979
1762975132256973006,2000000
1762975132277058420,2000020
1762975132297200772,1999948
1762975132317339369,2000000
